Line in Master,Company,Industry,Code,Metrics,Reported,Quantitative,MonetaryLoss
205.0,CSX Corp,RAIL TRANSPORTATION,TR-RA-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets",1,0.0,
205.0,CSX Corp,RAIL TRANSPORTATION,TR-RA-110a.3,"Total fuel consumed, percentage renewable",1,1.0,
206.0,Cummins Inc.,INDUSTRIAL MACHINERY & GOODS,RT-IG-320a.1,"(1) Total recordable incident rate (TRIR), (2) fatality rate, and (3) near miss frequency rate (NMFR)",1,1.0,
206.0,Cummins Inc.,INDUSTRIAL MACHINERY & GOODS,RT-IG-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",1,1.0,
206.0,Cummins Inc.,INDUSTRIAL MACHINERY & GOODS,RT-IG-410a.1,Sales-weighted fleet fuel efficiency for medium- and heavy-duty vehicles,1,1.0,
206.0,Cummins Inc.,INDUSTRIAL MACHINERY & GOODS,RT-IG-410a.2,Sales-weighted fuel efficiency for non-road equipment,1,1.0,
206.0,Cummins Inc.,INDUSTRIAL MACHINERY & GOODS,RT-IG-410a.3,Sales-weighted fuel efficiency for stationary generators,1,1.0,
206.0,Cummins Inc.,INDUSTRIAL MACHINERY & GOODS,RT-IG-410a.4,"Sales-weighted emissions of: (1) nitrogen oxides (NOx) and (2) particulate matter (PM) for: (a) marine diesel engines, (b) locomotive diesel engines, (c) on-road medium- and heavy-duty engines, and (d) other non-road diesel engines",0,1.0,
206.0,Cummins Inc.,INDUSTRIAL MACHINERY & GOODS,RT-IG-440a.1,Description of the management of risks associated with the use of critical materials,1,0.0,
206.0,Cummins Inc.,INDUSTRIAL MACHINERY & GOODS,RT-IG-440b.1,Revenue from remanufactured products and remanufacturing services,1,1.0,
207.0,Cushman & Wakefield PLC,REAL ESTATE SERVICES,IF-RS-410a.1,Revenue from energy and sustainability services,0,1.0,
207.0,Cushman & Wakefield PLC,REAL ESTATE SERVICES,IF-RS-410a.2,(1) Floor area and (2) number of buildings under management provided with energy and sustainability services,1,1.0,
207.0,Cushman & Wakefield PLC,REAL ESTATE SERVICES,IF-RS-410a.3,(1) Floor area and (2) number of buildings under management that obtained an energy rating,1,1.0,
207.0,Cushman & Wakefield PLC,REAL ESTATE SERVICES,IF-RS-510a.1,Brokerage revenue from dual agency transactions,0,1.0,
207.0,Cushman & Wakefield PLC,REAL ESTATE SERVICES,IF-RS-510a.2,Revenue from transactions associated with appraisal services,1,1.0,
207.0,Cushman & Wakefield PLC,REAL ESTATE SERVICES,IF-RS-510a.3,"Total amount of monetary losses as a result of legal proceedings associated with professional integrity, including duty of care",1,1.0,1.0
208.0,CVS Health Corp,DRUG RETAILERS,HC-DR-230a.1,Description of policies and practices to secure customers’ protected health information (PHI) records and other personally identifiable information (PII),1,0.0,
208.0,CVS Health Corp,DRUG RETAILERS,HC-DR-230a.2,"(1) Number of data breaches, (2) percentage involving (a) personally identifiable information (PII) only and (b) protected health information (PHI), (3) number of customers affected in each category, (a) PII only and (b) PHI",0,1.0,
208.0,CVS Health Corp,DRUG RETAILERS,HC-DR-230a.3,Total amount of monetary losses as a result of legal proceedings associated with data security and privacy,0,1.0,1.0
208.0,CVS Health Corp,DRUG RETAILERS,HC-DR-250a.1,Description of efforts to reduce the occurrence of compromised drugs within the supply chain,0,0.0,
208.0,CVS Health Corp,DRUG RETAILERS,HC-DR-250a.2,"Number of drug recalls issued, total units recalled, percentage for private-label products",0,1.0,
208.0,CVS Health Corp,DRUG RETAILERS,HC-DR-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",1,1.0,
208.0,CVS Health Corp,DRUG RETAILERS,HC-DR-260a.1,Percentage of controlled substance prescriptions dispensed for which a prescription drug monitoring program (PDMP) database was queried,0,1.0,
208.0,CVS Health Corp,DRUG RETAILERS,HC-DR-260a.2,Total amount of monetary losses as a result of legal proceedings associated with controlled substances,0,1.0,1.0
208.0,CVS Health Corp,DRUG RETAILERS,HC-DR-260b.1,First fill adherence rate,0,1.0,
