PERMNO,date,NAMEENDT,NCUSIP,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
19285,6/24/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,21.45,22.66,21.82,21.82,21.83,22.1
19285,6/25/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,21.035,21.87,21.52,21.52,21.53,21.62
19285,6/26/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,20.5909,21.74,20.97,21.02,21.03,21.52
19285,6/29/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,21,22.47,22.12,22.12,22.13,21.08
19285,6/30/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,21.41,22.41,22.22,22.21,22.22,21.81
19285,7/1/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,21.87,23.01,22.61,22.6,22.61,22.32
19285,7/2/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,22.57,23.22,22.91,22.91,22.92,22.99
19285,7/6/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,23.13,24.29,24.21,24.21,24.22,23.13
19285,7/7/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,23.724,24.18,24.01,23.99,24,23.76
19285,7/8/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,23.46,24.09,23.99,23.99,24.01,23.88
19285,7/9/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,23.76,24.22,23.91,23.91,23.92,24
19285,7/10/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,23.72,26.06,24.89,24.88,24.89,23.84
19285,7/13/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,23.26,25.21,24.28,24.27,24.28,25.14
19285,7/14/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,24.23,25.1601,25.15,25.15,25.16,24.3
19285,7/15/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,25.5401,26.57,26.45,26.43,26.45,25.58
19285,7/16/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,25.92,26.99,26.61,26.61,26.63,26.12
19285,7/17/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,26.33,26.9,26.48,26.48,26.49,26.89
19285,7/20/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,26.065,26.54,26.41,26.4,26.41,26.22
19285,7/21/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,26.16,26.8,26.57,26.57,26.58,26.29
19285,7/22/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,26.32,27.06,26.6,26.59,26.61,26.34
19285,7/23/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,26.52,27.63,27.35,27.33,27.35,26.66
19285,7/24/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,26.54,27.26,26.58,26.58,26.59,27.25
19285,7/27/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,26.08,26.78,26.25,26.24,26.25,26.5
19285,7/28/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,25.85,26.4,26.07,26.06,26.07,26.07
19285,7/29/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,26.11,27.72,27.18,27.15,27.18,26.11
19285,7/30/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,25.6,27.5,26.9,26.87,26.9,25.85
19285,7/31/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,26.63,27.355,27.24,27.24,27.26,26.85
19285,8/3/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,27.01,27.89,27.62,27.62,27.63,27.24
19285,8/4/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,27.16,27.87,27.77,27.76,27.77,27.4
19285,8/5/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,27.66,28.175,28.11,28.11,28.12,27.66
19285,8/6/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,27.94,28.54,28.27,28.27,28.28,28.02
19285,8/7/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,28.44,29.03,28.97,28.97,28.98,28.72
19285,8/10/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,28.91,29.57,29.46,29.46,29.47,29.02
19285,8/11/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.44,30.3196,29.49,29.49,29.5,30.16
19285,8/12/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.62,30.19,29.79,29.78,29.79,29.87
19285,8/13/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.37,30.28,29.54,29.53,29.54,29.9
19285,8/14/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.28,30.0481,29.52,29.51,29.52,29.71
19285,8/17/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,29.1429,30.185,29.84,29.84,29.85,29.5
